Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,1.178000,12.2,4914.89849,0.238000,,G8 III,4874.00,13.76,2.09,-0.26
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.530000,12.3,4684.81420,0.080000,,K4 III,4213.00,29.79,2.78,-0.02
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.775000,13.1,1131.15130,0.000000,,K0 III,4888.00,11.55,1.78,-0.21
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.0389,2.774000,12.6,2559.47216,0.373000,,K0 V,5338.00,0.93,0.91,405
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.660000,13.5,565.73740,0.680000,,G3 V,5750.00,1.13,1.08,0.06
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.450000,12.9,1373.01872,0.060000,,K3 III,4157.00,25.92,1.22,-0.01
18 Del b,18 Del,2,1,Radial Velocity,2008,982.85,2.476000,12.5,2926.24614,0.024000,,G6 III,4980.00,8.80,2.10,-0.06
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.000000,18647,3000.00000,,1700,K7 V,4060.00,1.31,0.85,0
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.33,0.194000,13.9,280.64248,0.032000,,G3 IV,4816.00,12.19,1.05,-0.78
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333000,13.4,632.46000,0.090000,,K0 IV,5098.00,4.90,1.54,-0.03
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.080000,13.9,273.32000,0.290000,,K0 IV,5098.00,4.90,1.54,-0.03
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.000000,13,1271.31363,,1450,M V,3100.00,0.84,0.17,0.01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.000000,12.3,4131.79000,,,M5.5/M6,,,0.19,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.000000,11209,7786.50000,,1600,M3.5 V,3530.00,0.37,0.40,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.000000,16141,4417.83700,,,M6,3064.00,0.28,0.11,0
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,,1950.000000,12.4,3686.80952,,,M6 V,2859.00,0.32,0.05,0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.000000,12.6,2383.60000,,,M8.5,2936.00,0.23,0.02,0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,0.0,,0,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,,,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.000000,12.9,1589.15000,,1250,M8,2825.00,0.22,0.02,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.920000,13.4,603.87700,0.330000,,,29564.00,0.20,0.48,-92
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.000000,12.3,3972.87500,,,K7 V,4045.00,0.64,0.60,0
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.990000,12.3,4392.41060,0.290000,,F6 V,6331.00,1.41,1.93,0.19
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.877000,12.6,2511.48007,0.453000,,K1 III,4415.00,18.11,1.23,-0.25
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1.190000,13,1233.13000,0.380000,,K1.5 III,4200.00,22.03,0.98,-0.46
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.100000,13.2,804.08000,0.032000,,G0 V,5872.00,1.21,1.06,0.04
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.600000,14.2,171.62100,0.098000,,G1 V,5872.00,1.21,1.06,0.04
47 UMa d,47 UMa,1,3,Radial Velocity,2009,0.0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp Fischer 2010 </a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
51 Eri b,51 Eri,3,1,Imaging,2015,11688.0,13.200000,13.4,635.66000,0.450000,700,F0 IV,7295.00,1.49,1.75,-27
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.052700,14.3,146.20180,0.013000,,G5V,5758.00,1.18,1.03,0.18
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6516,0.113400,13.9,263.97850,0.000000,700,K0 IV-V,5172.00,0.94,0.91,0.35
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3989,0.237300,8.51,54.47380,0.030000,,G8V,5172.00,0.94,0.91,0.35
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.2,5.957000,13,1232.49300,0.130000,,G8 V,5172.00,0.94,0.91,0.35
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365474,0.015440,1875,7.99000,0.050000,1958,G8 V,5172.00,0.94,0.91,0.35
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88,0.770800,7.59,44.81200,0.080000,,G8V,5172.00,0.94,0.91,0.35
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,919.86,2.028000,13.4,597.83523,0.042000,,K0 IV,4941.00,4.94,1.32,-0.17
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,0.050201,2.11,5.10000,0.120000,,G5 V,5577.00,0.96,0.94,-0.01
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,0.217500,4.46,18.20000,0.140000,,G5 V,5577.00,0.96,0.94,-0.01
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,0.476000,5.11,22.90000,0.350000,,G5 V,5577.00,0.96,0.94,-0.01
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,1.758000,13.4,587.98550,0.060000,,K1 III,4826.00,4.87,1.34,0.21
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,2.153000,13.9,276.51210,0.080000,,K1III(+M),4826.00,4.87,1.34,0.21
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,0.481000,12.6,2380.45000,0.398800,,G5V,5495.00,1.89,1.09,-0.09
75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,1.912000,13.3,787.89662,0.093000,,G3 III,4809.00,10.38,1.92,0.1
75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,3.929000,13.9,289.85951,0.023000,,G3 III,4809.00,10.38,1.92,0.1
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.490000,13.6,416.35730,0.060000,,K0,4847.00,10.30,1.44,-0.03
81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,2.104000,13.1,1051.05854,0.037000,,G5 III,4734.00,11.21,1.23,-0.11
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,0.700000,13.1,1017.00000,0.027000,,K0 III,4665.00,11.00,1.40,-0.03
AB Aur b,AB Aur,1,1,Imaging,2022,,93.900000,12.5,2860.45566,0.400000,,,9770.00,2.96,2.40,0
AB Pic b,AB Pic,1,1,Imaging,2005,,260.000000,12.3,4290.50000,,,K2 V,5285.00,1.00,0.90,0.04
AF Lep b,AF Lep,1,1,Imaging,2023,8030.0,8.400000,13.1,1017.05090,0.240000,1400,F8 V,6130.00,1.25,1.20,0.19
AU Mic b,AU Mic,1,3,Transit,2020,8.46308,0.064900,3957,20.12000,0.005770,600,M1,3678.00,0.74,0.51,0.23
AU Mic c,AU Mic,1,3,Transit,2021,18.85969,0.110800,2522,9.60000,0.003380,459,M1,3678.00,0.74,0.51,0.23
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,12.73596,,1.02,1.05300,0.003050,,M1,3678.00,0.74,0.51,0.23
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,1.300000,12.7,2034.11200,0.200000,,,4095.00,32.35,1.14,-0.71
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,0.780000,13.8,330.54320,0.290000,,K2 V,4864.00,0.86,0.49,0.17
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,0.576000,13.8,337.21763,0.001000,,G5,4649.00,8.95,1.08,-0.22
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,0.539000,13.7,352.78000,0.260000,,K0,4796.00,14.70,1.10,0.28
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,1.450000,12.1,6807.63000,0.150000,,K2 II,4137.00,49.00,2.80,-1
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,2.010000,12.4,3963.17000,0.180000,,K2 II,4137.00,49.00,2.80,-1
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,1.300000,13,1334.88600,0.210000,,K5 III,4296.00,17.30,0.80,-0.46
